"Start Time","End Time",Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
10:10,11:10,FOA,NULL,NULL,NULL,NULL,NULL
12:15,2:15,PR,AT,I,C,A,L
2:15,2:35,R,E,C,E,S,S
2:35,3:35,SE,AND,CN,AND,AJ,AJ
3:35,4:35,AND,FOA,NET,LA,CN,FOA
4:35,5:35,NULL,NULL,AJ,CN,LA,NULL
